camera_name	image_name	target_id	x_image	y_image
camera_0	camera_0_ts_1769095477407069445.jpg	197	1535.058350	827.499817
camera_0	camera_0_ts_1769095477407069445.jpg	201	1550.659424	944.782898
camera_0	camera_0_ts_1769095477407069445.jpg	207	1580.809814	361.127319
camera_0	camera_0_ts_1769095477407069445.jpg	209	1603.405762	470.191742
camera_0	camera_0_ts_1769095477407069445.jpg	215	1625.483643	584.485474
camera_0	camera_0_ts_1769095477407069445.jpg	219	1645.262207	700.044434
camera_0	camera_0_ts_1769095477407069445.jpg	221	1663.109253	816.727966
camera_0	camera_0_ts_1769095477407069445.jpg	225	1676.323120	934.986145
camera_0	camera_0_ts_1769095477407069445.jpg	235	1721.852417	453.675690
camera_0	camera_0_ts_1769095477407069445.jpg	237	1746.186646	569.065247
camera_0	camera_0_ts_1769095477407069445.jpg	243	1767.950317	686.256409
camera_0	camera_0_ts_1769095477407069445.jpg	245	1786.355103	803.630188
camera_0	camera_0_ts_1769095477407069445.jpg	249	1800.638428	922.460571
camera_0	camera_0_ts_1769095477407069445.jpg	263	1848.812988	437.039886
camera_0	camera_0_ts_1769095477407069445.jpg	267	1872.617188	552.644592
camera_0	camera_0_ts_1769095477806909445.jpg	135	1229.064331	423.487335
camera_0	camera_0_ts_1769095477806909445.jpg	141	1259.004883	627.112000
camera_0	camera_0_ts_1769095477806909445.jpg	149	1289.833496	841.831909
camera_0	camera_0_ts_1769095477806909445.jpg	153	1305.735229	954.509766
camera_0	camera_0_ts_1769095477806909445.jpg	159	1342.251953	403.898560
camera_0	camera_0_ts_1769095477806909445.jpg	165	1376.117554	615.031921
camera_0	camera_0_ts_1769095477806909445.jpg	169	1393.368286	724.618347
camera_0	camera_0_ts_1769095477806909445.jpg	175	1411.766235	837.199158
camera_0	camera_0_ts_1769095477806909445.jpg	177	1428.064575	952.916870
camera_0	camera_0_ts_1769095477806909445.jpg	189	1501.561401	601.641541
camera_0	camera_0_ts_1769095477806909445.jpg	195	1520.812012	714.740662
camera_0	camera_0_ts_1769095477806909445.jpg	197	1539.067993	830.371826
camera_0	camera_0_ts_1769095477806909445.jpg	201	1555.096191	947.869934
camera_0	camera_0_ts_1769095477806909445.jpg	207	1587.059204	363.360626
camera_0	camera_0_ts_1769095477806909445.jpg	209	1609.602661	472.553162
camera_0	camera_0_ts_1769095477806909445.jpg	215	1631.408936	587.123718
camera_0	camera_0_ts_1769095477806909445.jpg	219	1650.778442	703.112122
camera_0	camera_0_ts_1769095477806909445.jpg	221	1668.315796	820.382874
camera_0	camera_0_ts_1769095477806909445.jpg	225	1680.974976	939.048218
camera_0	camera_0_ts_1769095477806909445.jpg	231	1703.262817	347.003662
camera_0	camera_0_ts_1769095477806909445.jpg	235	1728.300415	456.761780
camera_0	camera_0_ts_1769095477806909445.jpg	237	1752.257324	572.911743
camera_0	camera_0_ts_1769095477806909445.jpg	243	1774.289673	690.205017
camera_0	camera_0_ts_1769095477806909445.jpg	245	1792.274048	808.186279
camera_0	camera_0_ts_1769095477806909445.jpg	249	1806.247681	927.740540
camera_0	camera_0_ts_1769095477806909445.jpg	263	1856.220459	440.798798
camera_0	camera_0_ts_1769095477806909445.jpg	267	1879.827881	556.658081
camera_0	camera_0_ts_1769095478307549445.jpg	135	1190.454468	417.903351
camera_0	camera_0_ts_1769095478307549445.jpg	139	1208.964722	514.942078
camera_0	camera_0_ts_1769095478307549445.jpg	141	1228.716431	616.522522
camera_0	camera_0_ts_1769095478307549445.jpg	147	1247.600586	719.888428
camera_0	camera_0_ts_1769095478307549445.jpg	149	1268.287231	826.185364
camera_0	camera_0_ts_1769095478307549445.jpg	153	1289.184204	936.887390
camera_0	camera_0_ts_1769095478307549445.jpg	159	1298.037720	395.065613
camera_0	camera_0_ts_1769095478307549445.jpg	163	1318.420776	494.826019
camera_0	camera_0_ts_1769095478307549445.jpg	165	1340.525024	598.893677
camera_0	camera_0_ts_1769095478307549445.jpg	169	1362.127563	705.416992
camera_0	camera_0_ts_1769095478307549445.jpg	175	1385.271973	814.815796
camera_0	camera_0_ts_1769095478307549445.jpg	177	1407.143677	927.984802
camera_0	camera_0_ts_1769095478307549445.jpg	183	1411.023193	371.487274
camera_0	camera_0_ts_1769095478307549445.jpg	187	1434.543823	473.534729
camera_0	camera_0_ts_1769095478307549445.jpg	189	1458.938110	580.822266
camera_0	camera_0_ts_1769095478307549445.jpg	195	1483.089355	689.595947
camera_0	camera_0_ts_1769095478307549445.jpg	197	1507.090454	801.200500
camera_0	camera_0_ts_1769095478307549445.jpg	201	1528.805298	915.757629
camera_0	camera_0_ts_1769095478307549445.jpg	207	1529.461182	347.819916
camera_0	camera_0_ts_1769095478307549445.jpg	209	1556.034424	451.580719
camera_0	camera_0_ts_1769095478307549445.jpg	215	1582.064575	561.343628
camera_0	camera_0_ts_1769095478307549445.jpg	219	1606.584839	672.318726
camera_0	camera_0_ts_1769095478307549445.jpg	221	1629.894043	785.228027
camera_0	camera_0_ts_1769095478307549445.jpg	225	1649.109985	900.364258
camera_0	camera_0_ts_1769095478307549445.jpg	231	1639.877197	327.336853
camera_0	camera_0_ts_1769095478307549445.jpg	235	1668.331299	431.693359
camera_0	camera_0_ts_1769095478307549445.jpg	237	1696.553711	542.286987
camera_0	camera_0_ts_1769095478307549445.jpg	243	1723.627075	654.195190
camera_0	camera_0_ts_1769095478307549445.jpg	245	1747.279785	767.093201
camera_0	camera_0_ts_1769095478307549445.jpg	249	1767.541016	882.510132
camera_0	camera_0_ts_1769095478307549445.jpg	263	1788.530762	411.219910
camera_0	camera_0_ts_1769095478307549445.jpg	267	1816.618774	520.936401
camera_0	camera_0_ts_1769095478307549445.jpg	275	1865.248901	748.118958
camera_0	camera_0_ts_1769095478907549445.jpg	135	1146.155273	409.200409
camera_0	camera_0_ts_1769095478907549445.jpg	139	1156.945923	505.593384
camera_0	camera_0_ts_1769095478907549445.jpg	141	1168.225586	606.088806
camera_0	camera_0_ts_1769095478907549445.jpg	147	1178.614380	707.605957
camera_0	camera_0_ts_1769095478907549445.jpg	149	1190.103638	810.357483
camera_0	camera_0_ts_1769095478907549445.jpg	153	1201.797363	916.940857
camera_0	camera_0_ts_1769095478907549445.jpg	159	1249.017578	396.722107
camera_0	camera_0_ts_1769095478907549445.jpg	165	1273.377808	596.328552
camera_0	camera_0_ts_1769095478907549445.jpg	169	1285.248901	699.031250
camera_0	camera_0_ts_1769095478907549445.jpg	175	1298.719360	803.599915
camera_0	camera_0_ts_1769095478907549445.jpg	177	1311.187866	911.793030
camera_0	camera_0_ts_1769095478907549445.jpg	183	1354.968872	383.561890
camera_0	camera_0_ts_1769095478907549445.jpg	189	1382.151245	586.473816
camera_0	camera_0_ts_1769095478907549445.jpg	195	1396.099609	690.407349
camera_0	camera_0_ts_1769095478907549445.jpg	197	1410.270752	796.204590
camera_0	camera_0_ts_1769095478907549445.jpg	201	1423.123535	905.212952
camera_0	camera_0_ts_1769095478907549445.jpg	207	1465.057373	370.497742
camera_0	camera_0_ts_1769095478907549445.jpg	209	1480.092285	471.311371
camera_0	camera_0_ts_1769095478907549445.jpg	215	1495.069092	576.000977
camera_0	camera_0_ts_1769095478907549445.jpg	219	1509.155396	681.058472
camera_0	camera_0_ts_1769095478907549445.jpg	221	1522.751099	787.766479
camera_0	camera_0_ts_1769095478907549445.jpg	225	1533.656372	896.049805
camera_0	camera_0_ts_1769095478907549445.jpg	231	1566.816162	360.069031
camera_0	camera_0_ts_1769095478907549445.jpg	235	1583.788574	460.666962
camera_0	camera_0_ts_1769095478907549445.jpg	237	1600.501465	565.782288
camera_0	camera_0_ts_1769095478907549445.jpg	243	1616.571411	671.259644
camera_0	camera_0_ts_1769095478907549445.jpg	245	1630.489990	777.596313
camera_0	camera_0_ts_1769095478907549445.jpg	249	1641.807373	885.531250
camera_0	camera_0_ts_1769095478907549445.jpg	263	1693.665527	451.030457
camera_0	camera_0_ts_1769095478907549445.jpg	267	1710.312866	554.477600
camera_0	camera_0_ts_1769095478907549445.jpg	275	1737.378052	766.560852
camera_0	camera_0_ts_1769095478907549445.jpg	287	1835.072021	422.953705
camera_0	camera_0_ts_1769095478907549445.jpg	291	1857.333008	538.107483
camera_0	camera_0_ts_1769095479407709445.jpg	135	1157.118408	424.060181
camera_0	camera_0_ts_1769095479407709445.jpg	139	1169.365845	519.674316
camera_0	camera_0_ts_1769095479407709445.jpg	141	1182.381104	620.707825
camera_0	camera_0_ts_1769095479407709445.jpg	147	1194.378540	724.137146
camera_0	camera_0_ts_1769095479407709445.jpg	149	1207.930054	830.557983
camera_0	camera_0_ts_1769095479407709445.jpg	153	1221.644043	942.770508
camera_0	camera_0_ts_1769095479407709445.jpg	159	1261.103516	410.212036
camera_0	camera_0_ts_1769095479407709445.jpg	163	1274.930908	507.762421
camera_0	camera_0_ts_1769095479407709445.jpg	165	1289.864136	610.441101
camera_0	camera_0_ts_1769095479407709445.jpg	169	1304.565186	715.603088
camera_0	camera_0_ts_1769095479407709445.jpg	175	1320.831177	824.659546
camera_0	camera_0_ts_1769095479407709445.jpg	177	1336.438965	938.184387
camera_0	camera_0_ts_1769095479407709445.jpg	183	1368.845215	396.070831
camera_0	camera_0_ts_1769095479407709445.jpg	187	1385.128174	495.308136
camera_0	camera_0_ts_1769095479407709445.jpg	189	1402.456787	599.985779
camera_0	camera_0_ts_1769095479407709445.jpg	195	1420.017944	706.697205
camera_0	camera_0_ts_1769095479407709445.jpg	197	1437.708496	817.129700
camera_0	camera_0_ts_1769095479407709445.jpg	201	1454.089722	932.045654
camera_0	camera_0_ts_1769095479407709445.jpg	207	1481.252441	381.687286
camera_0	camera_0_ts_1769095479407709445.jpg	209	1500.420044	482.314392
camera_0	camera_0_ts_1769095479407709445.jpg	215	1519.723633	588.612000
camera_0	camera_0_ts_1769095479407709445.jpg	219	1538.005493	696.973816
camera_0	camera_0_ts_1769095479407709445.jpg	221	1555.710083	808.187683
camera_0	camera_0_ts_1769095479407709445.jpg	225	1569.909180	922.790344
camera_0	camera_0_ts_1769095479407709445.jpg	231	1585.498657	370.192017
camera_0	camera_0_ts_1769095479407709445.jpg	235	1607.253418	470.982117
camera_0	camera_0_ts_1769095479407709445.jpg	237	1628.491211	577.778809
camera_0	camera_0_ts_1769095479407709445.jpg	243	1649.648193	686.478394
camera_0	camera_0_ts_1769095479407709445.jpg	245	1668.103882	797.463806
camera_0	camera_0_ts_1769095479407709445.jpg	249	1683.611450	911.077515
camera_0	camera_0_ts_1769095479407709445.jpg	263	1720.689575	459.735657
camera_0	camera_0_ts_1769095479407709445.jpg	267	1742.460693	565.255005
camera_0	camera_0_ts_1769095479407709445.jpg	287	1866.794189	428.513428
camera_0	camera_0_ts_1769095479407709445.jpg	291	1895.623779	545.633728
camera_0	camera_0_ts_1769095479808029445.jpg	135	1150.445557	439.749725
camera_0	camera_0_ts_1769095479808029445.jpg	139	1161.465088	536.087646
camera_0	camera_0_ts_1769095479808029445.jpg	141	1173.281494	639.452820
camera_0	camera_0_ts_1769095479808029445.jpg	149	1197.245483	858.517090
camera_0	camera_0_ts_1769095479808029445.jpg	153	1210.514648	978.168762
camera_0	camera_0_ts_1769095479808029445.jpg	159	1255.094604	428.450836
camera_0	camera_0_ts_1769095479808029445.jpg	165	1283.385864	631.133789
camera_0	camera_0_ts_1769095479808029445.jpg	169	1297.993408	739.688599
camera_0	camera_0_ts_1769095479808029445.jpg	175	1314.615601	854.178711
camera_0	camera_0_ts_1769095479808029445.jpg	177	1329.968140	975.845337
camera_0	camera_0_ts_1769095479808029445.jpg	183	1363.350098	416.730896
camera_0	camera_0_ts_1769095479808029445.jpg	195	1416.306152	733.101440
camera_0	camera_0_ts_1769095479808029445.jpg	197	1435.301147	848.934143
camera_0	camera_0_ts_1769095479808029445.jpg	201	1452.442505	970.658752
camera_0	camera_0_ts_1769095479808029445.jpg	207	1476.478394	404.989410
camera_0	camera_0_ts_1769095479808029445.jpg	209	1496.333618	505.946289
camera_0	camera_0_ts_1769095479808029445.jpg	215	1517.027466	613.883545
camera_0	camera_0_ts_1769095479808029445.jpg	219	1536.935547	725.638245
camera_0	camera_0_ts_1769095479808029445.jpg	221	1556.506958	841.279968
camera_0	camera_0_ts_1769095479808029445.jpg	225	1572.012573	962.170288
camera_0	camera_0_ts_1769095479808029445.jpg	231	1581.155762	395.845947
camera_0	camera_0_ts_1769095479808029445.jpg	235	1604.146484	496.459930
camera_0	camera_0_ts_1769095479808029445.jpg	237	1627.822388	604.685120
camera_0	camera_0_ts_1769095479808029445.jpg	243	1650.612061	716.819641
camera_0	camera_0_ts_1769095479808029445.jpg	245	1671.278809	831.968628
camera_0	camera_0_ts_1769095479808029445.jpg	249	1688.603760	951.325134
camera_0	camera_0_ts_1769095479808029445.jpg	263	1718.461426	487.776489
camera_0	camera_0_ts_1769095479808029445.jpg	267	1742.505859	594.274414
camera_0	camera_0_ts_1769095479808029445.jpg	275	1785.101929	820.992310
camera_0	camera_0_ts_1769095479808029445.jpg	287	1865.623535	457.251160
camera_0	camera_0_ts_1769095479808029445.jpg	291	1898.014771	575.634888
camera_0	camera_0_ts_1769095480307709445.jpg	135	1160.009644	387.427307
camera_0	camera_0_ts_1769095480307709445.jpg	139	1169.035034	491.270142
camera_0	camera_0_ts_1769095480307709445.jpg	141	1178.322144	601.576294
camera_0	camera_0_ts_1769095480307709445.jpg	147	1186.954102	714.902466
camera_0	camera_0_ts_1769095480307709445.jpg	149	1196.852173	833.011353
camera_0	camera_0_ts_1769095480307709445.jpg	153	1207.088745	957.620239
camera_0	camera_0_ts_1769095480307709445.jpg	159	1274.001221	376.391113
camera_0	camera_0_ts_1769095480307709445.jpg	165	1296.958618	594.806152
camera_0	camera_0_ts_1769095480307709445.jpg	169	1308.502563	710.596741
camera_0	camera_0_ts_1769095480307709445.jpg	175	1322.136475	831.231995
